Município,Aprovou?,Data aprovação,Atualização,Atualização 2,População,Projeto?,Aprovado?,Sancionado?
Arroio do Tigre/RS,Não,,,,13.452,Não,,
Tenente Portela/RS,Não,,,,13.385,Não,,
Mostardas/RS,Não,,,,12.888,Não,,
Salto do Jacuí/RS,Não,,,,12.512,Não,,
Cruzeiro do Sul/RS,Não,,,,12.457,Não,,
Redentora/RS,Não,,,,11.782,Não,,
Palmares do Sul/RS,Não,,,,11.342,Não,,
Terra de Areia/RS,Não,,,,11.323,Não,,
Bom Jesus/RS,Não,,,,11.270,Não,,
Três Cachoeiras/RS,Não,,,,11.174,Não,,
Barros Cassal/RS,Não,,,,11.167,Não,,
Ronda Alta/RS,Não,,,,10.633,Não,,
Tapera/RS,Não,,,,10.569,Não,,
Arroio do Sal/RS,Não,,,,10.483,Não,,
Arvorezinha/RS,Não,,,,10.422,Não,,
Planalto/RS,Não,,,,9.957,Não,,
Candiota/RS,Não,,,,9.707,Não,,
Chapada/RS,Não,,,,9.211,Não,,
Pântano Grande/RS,Não,,,,8.995,Não,,
São Vicente do Sul/RS,Não,,,,8.742,Não,,
Catuípe/RS,Não,,,,8.631,Não,,
Cristal/RS,Não,,,,8.121,Não,,
Santana da Boa Vista/RS,Não,,,,8.037,Não,,
Tuparendi/RS,Não,,,,7.730,Não,,
Boqueirão do Leão/RS,Não,,,,7.691,Não,,
Pedro Osório/RS,Não,,,,7.683,Não,,
Paraíso do Sul/RS,Não,,,,7.635,Não,,
Barão do Triunfo/RS,Não,,,,7.550,Não,,
Lavras do Sul/RS,Não,,,,7.410,Não,,
Ametista do Sul/RS,Não,,,,7.396,Não,,
Manoel Viana/RS,Não,,,,7.315,Não,,
Amaral Ferrador/RS,Não,,,,7.136,Não,,
Palmitinho/RS,Não,,,,7.056,Não,,
Iraí/RS,Não,,,,7.046,Não,,
Ajuricaba/RS,Não,,,,6.951,Não,,
Chuí/RS,Não,,,,6.832,Não,,
Herval/RS,Não,,,,6.807,Não,,
Condor/RS,Não,,,,6.766,Não,,
Roque Gonzales/RS,Não,,,,6.750,Não,,
Boa Vista do Buricá/RS,Não,,,,6.712,Não,,
Barão de Cotegipe/RS,Não,,,,6.616,Não,,
Passo do Sobrado/RS,Não,,,,6.612,Não,,
Morro Redondo/RS,Não,,,,6.609,Não,,
Sertão Santana/RS,Não,,,,6.586,Não,,
Augusto Pestana/RS,Não,,,,6.545,Não,,
Lagoão/RS,Não,,,,6.469,Não,,
Cambará do Sul/RS,Não,,,,6.383,Não,,
Santa Maria do Herval/RS,Não,,,,6.382,Não,,
Lindolfo Collor/RS,Não,,,,6.193,Não,,
Aratiba/RS,Não,,,,6.145,Não,,
Bossoroca/RS,Não,,,,6.135,Não,,
Cândido Godói/RS,Não,,,,6.106,Não,,
Independência/RS,Não,,,,6.054,Não,,
Vale Real/RS,Não,,,,6.046,Não,,
Cerrito/RS,Não,,,,6.005,Não,,
Anta Gorda/RS,Não,,,,5.941,Não,,
Estação/RS,Não,,,,5.924,Não,,
Alpestre/RS,Não,,,,5.885,Não,,
Passa-Sete/RS,Não,,,,5.790,Não,,
Alecrim/RS,Não,,,,5.710,Não,,
São Paulo das Missões/RS,Não,,,,5.654,Não,,
Itaara/RS,Não,,,,5.573,Não,,
Tiradentes do Sul/RS,Não,,,,5.532,Não,,
Chuvisca/RS,Não,,,,5.518,Não,,
Nova Esperança do Sul/RS,Não,,,,5.465,Não,,
Gaurama/RS,Não,,,,5.447,Não,,
Machadinho/RS,Não,,,,5.411,Não,,
Campina das Missões/RS,Não,,,,5.325,Não,,
Barracão/RS,Não,,,,5.237,Não,,
Sertão/RS,Não,,,,5.220,Não,,
São Nicolau/RS,Não,,,,5.153,Não,,
Brochier/RS,Não,,,,5.132,Não,,
Liberato Salzano/RS,Não,,,,5.087,Não,,
Rondinha/RS,Não,,,,5.033,Não,,
Tupandi/RS,Não,,,,5.019,Não,,
