Município,Aprovou?,Data aprovação,Atualização,Atualização 2,Atualização 3,População,Projeto?,Aprovado?,Sancionado?
Cocos/BA,Não,,,,,18.835,Não,,
São Gabriel/BA,Não,,,,,18.785,Não,,
Cairu/BA,Não,,,,,18.666,Não,,
Ubaitaba/BA,Não,,,,,18.647,Não,,
Mirangaba/BA,Não,,,,,18.603,Não,,
Cafarnaum/BA,Não,,,,,18.585,Não,,
Mairi/BA,Não,,,,,18.535,Não,,
Boa Vista do Tupim/BA,Não,,,,,18.491,Não,,
Ibipeba/BA,Não,,,,,18.421,Não,,
Buerarema/BA,Não,,,,,18.269,Não,,
Una/BA,Não,,,,,18.108,Não,,
Aporá/BA,Não,,,,,17.840,Não,,
Fátima/BA,Não,,,,,17.801,Não,,
Tanque Novo/BA,Não,,,,,17.518,Não,,
Sapeaçu/BA,Não,,,,,17.421,Não,,
Cipó/BA,Não,,,,,17.402,Não,,
Sátiro Dias/BA,Não,,,,,17.330,Não,,
Central/BA,Não,,,,,17.293,Não,,
Serra Dourada/BA,Não,,,,,17.261,Não,,
Adustina/BA,Não,,,,,17.209,Não,,
Souto Soares/BA,Não,,,,,17.118,Não,,
Condeúba/BA,Não,,,,,17.113,Não,,
Água Fria/BA,Não,,,,,17.096,Não,,
Conceição do Almeida/BA,Não,,,,,17.087,Não,,
Ibititá/BA,Não,,,,,17.048,Não,,
Belo Campo/BA,Não,,,,,17.013,Não,,
Bonito/BA,Não,,,,,16.999,Não,,
Tapiramutá/BA,Não,,,,,16.939,Não,,
Malhada/BA,Não,,,,,16.875,Não,,
Piatã/BA,Não,,,,,16.854,Não,,
Canudos/BA,Não,,,,,16.832,Não,,
Pedro Alexandre/BA,Não,,,,,16.698,Não,,
Nova Canaã/BA,Não,,,,,16.482,Não,,
Ibitiara/BA,Não,,,,,16.463,Não,,
Filadélfia/BA,Não,,,,,16.314,Não,,
Pindaí/BA,Não,,,,,16.308,Não,,
Ibicuí/BA,Não,,,,,16.262,Não,,
Barrocas/BA,Não,,,,,16.225,Não,,
Itaetê/BA,Não,,,,,16.164,Não,,
Coaraci/BA,Não,,,,,16.128,Não,,
América Dourada/BA,Não,,,,,16.086,Não,,
Tremedal/BA,Não,,,,,15.996,Não,,
Biritinga/BA,Não,,,,,15.989,Não,,
Encruzilhada/BA,Não,,,,,15.914,Não,,
Lagoa Real/BA,Não,,,,,15.870,Não,,
Igaporã/BA,Não,,,,,15.661,Não,,
Coronel João Sá/BA,Não,,,,,15.549,Não,,
São Félix do Coribe/BA,Não,,,,,15.543,Não,,
Rio do Antônio/BA,Não,,,,,15.521,Não,,
Glória/BA,Não,,,,,15.247,Não,,
Jussara/BA,Não,,,,,15.241,Não,,
Acajutiba/BA,Não,,,,,15.214,Não,,
Presidente Dutra/BA,Não,,,,,15.180,Não,,
Barro Alto/BA,Não,,,,,15.171,Não,,
Teolândia/BA,Não,,,,,15.097,Não,,
Ibipitanga/BA,Não,,,,,14.989,Não,,
Jacaraci/BA,Não,,,,,14.855,Não,,
São Felix/BA,Não,,,,,14.784,Não,,
Ponto Novo/BA,Não,,,,,14.729,Não,,
Caetanos/BA,Não,,,,,14.671,Não,,
Itaguaçu da Bahia/BA,Não,,,,,14.650,Não,,
Ribeira do Amparo/BA,Não,,,,,14.631,Não,,
Itatim/BA,Não,,,,,14.588,Não,,
Retirolândia/BA,Não,,,,,14.588,Não,,
Jiquiriçá/BA,Não,,,,,14.576,Não,,
Serra Preta/BA,Não,,,,,14.531,Não,,
Boninal/BA,Não,,,,,14.518,Não,,
Ibirataia/BA,Não,,,,,14.476,Não,,
Andorinha/BA,Não,,,,,14.416,Não,,
Candiba/BA,Não,,,,,14.415,Não,,
Itagibá/BA,Não,,,,,14.331,Não,,
Ipecaetá/BA,Não,,,,,14.229,Não,,
Nilo Peçanha/BA,Não,,,,,14.156,Não,,
Brejões/BA,Não,,,,,14.155,Não,,
Várzea da Roça/BA,Não,,,,,14.135,Não,,
Coribe/BA,Não,,,,,14.108,Não,,
Cristópolis/BA,Não,,,,,13.981,Não,,
Baianópolis/BA,Não,,,,,13.979,Não,,
Santa Brígida/BA,Não,,,,,13.917,Não,,
Angical/BA,Não,,,,,13.902,Não,,
Uibaí/BA,Não,,,,,13.894,Não,,
Mansidão/BA,Não,,,,,13.822,Não,,
Cotegipe/BA,Não,,,,,13.756,Não,,
Mascote/BA,Não,,,,,13.619,Não,,
Pé de Serra/BA,Não,,,,,13.535,Não,,
Serrolândia/BA,Não,,,,,13.490,Não,,
Caldeirão Grande/BA,Não,,,,,13.452,Não,,
Banzaê/BA,Não,,,,,13.251,Não,,
Nordestina/BA,Não,,,,,13.197,Não,,
Barra do Mendes/BA,Não,,,,,13.128,Não,,
Andaraí/BA,Não,,,,,13.122,Não,,
Sítio do Mato/BA,Não,,,,,13.104,Não,,
Terra Nova/BA,Não,,,,,13.018,Não,,
Saúde/BA,Não,,,,,12.971,Não,,
Igrapiúna/BA,Não,,,,,12.963,Não,,
Aracatu/BA,Não,,,,,12.960,Não,,
Heliópolis/BA,Não,,,,,12.946,Não,,
Manoel Vitorino/BA,Não,,,,,12.944,Não,,
Rio de Contas/BA,Não,,,,,12.878,Não,,
Novo Horizonte/BA,Não,,,,,12.653,Projeto de Lei n° 248/2019,,
Tabocas do Brejo Velho/BA,Não,,,,,12.515,Não,,
Itiruçu/BA,Não,,,,,12.482,Não,,
Matina/BA,Não,,,,,12.359,Não,,
Licínio de Almeida/BA,Não,,,,,12.357,Não,,
Santa Luzia/BA,Não,,,,,12.308,Não,,
Dom Basílio/BA,Não,,,,,12.281,Não,,
Araçás/BA,Não,,,,,12.237,Não,,
Saubara/BA,Não,,,,,12.163,Não,,
Itagi/BA,Não,,,,,12.140,Não,,
Wanderley/BA,Não,,,,,12.125,Não,,
Mortugaba/BA,Não,,,,,12.063,Não,,
Boa Nova/BA,Não,,,,,12.039,Não,,
Presidente Jânio Quadros/BA,Não,,,,,12.028,Não,,
Antônio Gonçalves/BA,Não,,,,,11.955,Não,,
São Miguel das Matas/BA,Não,,,,,11.733,Não,,
Rio do Pires/BA,Não,,,,,11.672,Não,,
Antônio Cardoso/BA,Não,,,,,11.670,Não,,
Capela do Alto Alegre/BA,Não,,,,,11.597,Não,,
Lençóis/BA,Não,,,,,11.586,Não,,
Sebastião Laranjeiras/BA,Não,,,,,11.586,Não,,
Aramari/BA,Não,,,,,11.519,Não,,
Muquém do São Francisco/BA,Não,,,,,11.479,Não,,
Anguera/BA,Não,,,,,11.369,Não,,
Macajuba/BA,Não,,,,,11.318,Não,,
Gentio do Ouro/BA,Não,,,,,11.284,Não,,
Chorrochó/BA,Não,,,,,11.221,Não,,
Aurelino Leal/BA,Não,,,,,11.079,Não,,
Iuiú/BA,Não,,,,,11.038,Não,,
Arataca/BA,Não,,,,,10.904,Não,,
Milagres/BA,Não,,,,,10.838,Não,,
Jandaíra/BA,Não,,,,,10.742,Não,,
Brotas de Macaúbas/BA,Não,,,,,10.705,Não,,
Brejolândia/BA,Não,,,,,10.675,Não,,
Santa Inês/BA,Não,,,,,10.583,Não,,
São José do Jacuípe/BA,Não,,,,,10.546,Não,,
Floresta Azul/BA,Não,,,,,10.525,Não,,
Santa Teresinha/BA,Não,,,,,10.520,Não,,
Érico Cardoso/BA,Não,,,,,10.513,Não,,
Jitaúna/BA,Não,,,,,10.470,Não,,
Mulungu do Morro/BA,Não,,,,,10.469,Não,,
Marcionílio Souza/BA,Não,,,,,10.357,Não,,
Pintadas/BA,Não,,,,,10.353,Não,,
Dário Meira/BA,Não,,,,,10.347,Não,,
Maiquinique/BA,Não,,,,,10.294,Não,,
Itapitanga/BA,Não,,,,,10.284,Não,,
Piripá/BA,Não,,,,,10.253,Não,,
Itapebi/BA,Não,,,,,10.173,Não,,
Botuporã/BA,Não,,,,,10.050,Não,,
Piraí do Norte/BA,Não,,,,,10.050,Não,,
Ipupiara/BA,Não,,,,,9.954,Não,,
Bom Jesus da Serra/BA,Não,,,,,9.768,Não,,
Canápolis/BA,Não,,,,,9.694,Não,,
Pau Brasil/BA,Não,,,,,9.550,Não,,
Rodelas/BA,Não,,,,,9.548,Não,,
Sítio do Quinto/BA,Não,,,,,9.431,Não,,
Planaltino/BA,Não,,,,,9.415,Não,,
Cardeal da Silva/BA,Não,,,,,9.395,Não,,
Wagner/BA,Não,,,,,9.342,Não,,
Caturama/BA,Não,,,,,9.303,Não,,
Várzea do Poço/BA,Não,,,,,9.247,Não,,
Nova Redenção/BA,Não,,,,,9.126,Não,,
Palmeiras/BA,Não,,,,,9.123,Não,,
São Domingos/BA,Não,,,,,9.085,Não,,
Santanópolis/BA,Não,,,,,8.987,Não,,
Quixabeira/BA,Não,,,,,8.939,Não,,
Caém/BA,Não,,,,,8.912,Não,,
Jucuruçu/BA,Não,,,,,8.856,Não,,
Ibiassucê/BA,Não,,,,,8.849,Não,,
Aratuípe/BA,Não,,,,,8.848,Não,,
Ibirapuã/BA,Não,,,,,8.740,Não,,
Varzedo/BA,Não,,,,,8.734,Não,,
Mucugê/BA,Não,,,,,8.725,Não,,
Abaíra/BA,Não,,,,,8.681,Não,,
Cordeiros/BA,Não,,,,,8.667,Não,,
Caraíbas/BA,Não,,,,,8.659,Não,,
Lagedo do Tabocal/BA,Não,,,,,8.591,Não,,
Ouriçangas/BA,Não,,,,,8.575,Não,,
Morpará/BA,Não,,,,,8.476,Não,,
Itaquara/BA,Não,,,,,8.375,Não,,
Nova Itarana/BA,Não,,,,,8.328,Não,,
Malhada de Pedras/BA,Não,,,,,8.326,Não,,
Itapé/BA,Não,,,,,8.300,Não,,
Mirante/BA,Não,,,,,8.264,Não,,
Jaborandi/BA,Não,,,,,8.176,Não,,
Elísio Medrado/BA,Não,,,,,8.129,Não,,
Candeal/BA,Não,,,,,8.109,Não,,
Lamarão/BA,Não,,,,,8.078,Não,,
Itamari/BA,Não,,,,,7.971,Não,,
Tanquinho/BA,Não,,,,,7.936,Não,,
Iramaia/BA,Não,,,,,7.874,Não,,
Nova Fátima/BA,Não,,,,,7.830,Não,,
Macururé/BA,Não,,,,,7.752,Não,,
