Município,Aprovou?,Data aprovação,Atualização,População,Projeto?,Aprovado?,Sancionado?
Verdejante/PE,Não,,,9.572,Não,,
Cumaru/PE,Não,,,9.494,Não,,
Brejão/PE,Não,,,8.981,Não,,
Camutanga/PE,Não,,,8.592,Não,,
Tuparetama/PE,Não,,,8.266,Não,,
Ibirajuba/PE,Não,,,7.773,Não,,
Granito/PE,Não,,,7.586,Não,,
Vertente do Lério/PE,Não,,,7.526,Não,,
Palmeirina/PE,Não,,,7.509,Não,,
Brejinho/PE,Não,,,7.489,Não,,
Terezinha/PE,Não,,,7.227,Não,,
Quixaba/PE,Não,,,6.796,Não,,
Solidão/PE,Não,,,6.034,Não,,
Calumbi/PE,Não,,,5.744,Não,,
Itacuruba/PE,Não,,,5.013,Não,,
