Município,Aprovou?,Aprovação,Atualização,População,Projeto?,Aprovado?,Sancionado?
Ribeirão Claro/PR,Não,,,10.622,Não,,
Nova Prata do Iguaçu/PR,Não,,,10.540,Não,,
Florestópolis/PR,Não,,,10.360,Não,,
Barracão/PR,Não,,,10.347,Não,,
Mariluz/PR,Não,,,10.327,Não,,
Catanduvas/PR,Não,,,10.144,Não,,
São João/PR,Não,,,10.122,Não,,
Santa Tereza do Oeste/PR,Não,,,10.055,Não,,
Iretama/PR,Não,,,10.029,Não,,
São João do Ivaí/PR,Não,,,9.897,Não,,
Alto Piquiri/PR,Não,,,9.722,Não,,
Rondon/PR,Não,,,9.664,Não,,
Japurá/PR,Não,,,9.573,Não,,
Agudos do Sul/PR,Não,,,9.567,Não,,
Roncador/PR,Não,,,9.447,Não,,
Tunas do Paraná/PR,Não,,,9.269,Não,,
Santa Maria do Oeste/PR,Não,,,9.210,Não,,
São Jorge do Oeste/PR,Não,,,9.005,Não,,
Douradina/PR,Não,,,8.988,Não,,
Congonhinhas/PR,Não,,,8.896,Não,,
Guamiranga/PR,Não,,,8.881,Não,,
São Sebastião da Amoreira/PR,Não,,,8.865,Não,,
Marilândia do Sul/PR,Não,,,8.793,Não,,
Califórnia/PR,Não,,,8.641,Não,,
Tuneiras do Oeste/PR,Não,,,8.502,Não,,
Santa Isabel do Ivaí/PR,Não,,,8.484,Não,,
Vera Cruz do Oeste/PR,Não,,,8.389,Não,,
Nova Santa Rosa/PR,Não,,,8.311,Não,,
Ivaté/PR,Não,,,8.294,Não,,
Jesuítas/PR,Não,,,8.251,Não,,
Reserva do Iguaçu/PR,Não,,,8.127,Não,,
Nova Fátima/PR,Não,,,8.120,Não,,
Campo do Tenente/PR,Não,,,8.118,Não,,
Tupãssi/PR,Não,,,8.105,Não,,
Cambira/PR,Não,,,7.967,Não,,
Santa Cruz de Monte Castelo/PR,Não,,,7.705,Não,,
Tomazina/PR,Não,,,7.699,Não,,
Icaraíma/PR,Não,,,7.671,Não,,
